,Model,Label Propagation,Test Accuracy,Train Accuracy,Validation Accuracy
0,Balanced Random Forest,No Propagation,0.33825816485225507,0.3370917573872473,0.246
1,RUS Boost,No Propagation,0.37052877138413687,0.3833592534992224,0.31333333333333335
2,Balanced Random Forest,Label Propagation,0.3850946561226935,0.38749101365923794,0.282
3,RUS Boost,Label Propagation,0.481188593338126,0.48172777378384857,0.3526666666666667
4,Balanced Random Forest,Pseudo Labels,0.67601246105919,0.7905583513060148,0.363
5,RUS Boost,Pseudo Labels,0.5382219027078841,0.5344476395878265,0.30666666666666664
6,Balanced Random Forest,Iterative Pseudo Labels 10,0.6841600766834411,0.794692068056554,0.357
7,RUS Boost,Iterative Pseudo Labels 10,0.41816439012700696,0.41966211358734723,0.339
8,Balanced Random Forest,Iterative Pseudo Labels 100,0.6827222621615145,0.7928348909657321,0.364
9,RUS Boost,Iterative Pseudo Labels 100,0.5674574646537264,0.5584711238916846,0.379
10,Balanced Random Forest,No Propagation,0.5287713841368584,0.7117029548989113,0.37133333333333335
11,RUS Boost,No Propagation,0.38724727838258166,0.40396578538102645,0.31966666666666665
